title,author,year_approx,period,literary_movement,register,rhetorical_genre,discursive_structure,discourse_type,narrative_level,diegetic_mimetic,focalization,person,deictic_orientation,addressee_type,deictic_object,temporal_orientation,temporal_structure,tradition,mode,genre,stanza_structure,meter,rhyme
Adam Lay Ybounden,Anonymous,1400,Medieval,nan,Formal,Hortatory,Strophic,Poetic,nan,Non-diegetic,Omniscient,nan,Anaphoric,God,nan,Anachronic,A-temporal,Middle English,Narrative,Religious,Quatrains,Iambic pentameter,AABB
They Flee from Me,Thomas Wyatt,1557,Elizabethan,Renaissance,Formal,Epideictic,Descriptive,Poetic,Extradiegetic,None,Third person,First person (speaker),Second person,Imaginary,Nature,Present,Static,English poetry,Lyric,Sonnet,Three quatrains and a couplet,Iambic pentameter,ABABCDCDEFEFGG
"My Lute, Awake!",Thomas Wyatt,1557,Tudor,Renaissance,Imperative,Epideictic,Monologue,Poetic,nan,nan,nan,nan,nan,nan,nan,Present,Static,English Poetry,Lyric,Song,Quatrains,Iambic pentameter,AABB
Blame Not My Lute,Thomas Wyatt,1557,Tudor,Renaissance,Formal,Epideictic,Monologue,Poetic,Extradiegetic,None,First person,Speaker,First person,Implied,Lute,Present,Static,English poetry,Lyric,Song,Quatrains,Iambic pentameter,ABAB
Forget Not Yet,Thomas Wyatt,1557,Tudor,Renaissance,Formal,Persuasive,Monologue,Poetic,First person,Non-diegetic,First person internal,Speaker,Second person,Beloved,You,Present,Static,English poetry,Lyric,Love poetry,Quatrains,Iambic pentameter,ABAB
Stand Whoso List,Thomas Wyatt,1557,Elizabethan,Renaissance,Formal,Persuasive,Monologue,Poetic,Extradiegetic,None,First person,Speaker,Second person,Imaginary,You,Present,Static,English lyric tradition,Lyric,Love poetry,Quatrains,Iambic pentameter,ABAB
The Long Love,Thomas Wyatt,1557,Elizabethan,Renaissance,Courtesan,Epistolary,Letter,Formal,First person,Mimetic,First person,Speaker,Second person,Beloved,You,Present,Sequential,English poetry,Lyric,Love poetry,Quatrains,Iambic pentameter,AABB
Description of Spring,"Henry Howard, Earl of Surrey",1547,Renaissance,Elizabethan,Descriptive,Descriptive,Expository,Prose,Extradiegetic,Mimetic,Third person omniscient,nan,Extralocative,Implied,Spring,Past,Sequential,English poetry,Descriptive,Lyric,Quatrains,Iambic pentameter,AABB
"Alas, So All Things Now Do Hold Their Peace","Henry Howard, Earl of Surrey",1547,Tudor,Renaissance,Formal,Epideictic,Descriptive,Poetic,Extradiegetic,Non-diegetic,Third person omniscient,nan,Second person,God,nan,Present,Static,English poetic tradition,Lyric,Religious poetry,Quatrains,Iambic pentameter,AABB
The Soote Season,"Henry Howard, Earl of Surrey",1547,Tudor,Renaissance,Formal,Descriptive,Paragraphic,Expository,Third person,Mimetic,External,Third person,Objective,General,Nature,Past,Chronological,English poetry,Descriptive,Lyric,Quatrains,Iambic pentameter,AABB
Love That Doth Reign,"Henry Howard, Earl of Surrey",1547,Tudor,Renaissance,Formal,Epideictic,Descriptive,Poetic,Extradiegetic,None,Third person,None,None,General,None,Present,Static,English Literary Tradition,Descriptive,Lyric,Quatrains,Iambic pentameter,ABAB
"Give Place, Ye Lovers","Henry Howard, Earl of Surrey",1547,Tudor,Renaissance,Formal,Epideictic,Descriptive,Poetic,Zero,Non-diegetic,Third person,None,Static,General,None,Past,Simple,English Literary Tradition,Lyric,Love Poem,Quatrains,Iambic pentameter,AABB
Astrophil and Stella 1,Philip Sidney,1591,Elizabethan,Renaissance,Courtly,Epistolary,Monologue,Poetic,First person,Explicit,First person internal,First person singular,First person,Love object,Stella,Present,Static,Sonnet tradition,Lyric,Love poetry,Sonnet form,Iambic pentameter,ABAB CDCD EFEF GG
Astrophil and Stella 31,Philip Sidney,1591,Elizabethan,Renaissance,Courtly,Epistolary,Letter,Persuasive,Explicit,Mimetic,First person,Speaker,Second person,Beloved,Stella,Present,Sequential,Sonnet tradition,Lyric,Love poetry,Sonnet form,Iambic pentameter,ABAB CDCD EFEF GG
Astrophil and Stella 71,Philip Sidney,1591,Elizabethan,Renaissance,Courtly,Epistolary,Argumentative,Persuasive,Explicit,Mimetic,First person,Speaker,Second person,Beloved,Stella,Present,Sequential,Sonnet,Lyric,Love poetry,Sonnet form,Iambic pentameter,ABAB CDCD EFEF GG
"Leave Me, O Love",Philip Sidney,1598,Elizabethan,Renaissance,Formal,Epideictic,Monologue,Poetic,nan,Non-diegetic,First person,Speaker,First person,Love,Love,Present,Static,English literary tradition,Lyric,Love poetry,Sonnet,Iambic pentameter,ABABCDCDEFEFGG
"The Faerie Queene (Book I, Canto I)",Edmund Spenser,1590,,,,,,,,,,,,,,,,,,,,,
"The Faerie Queene (Book III, Canto VI)",Edmund Spenser,1590,Elizabethan,Renaissance,Formal,Epical,Narrative,Expository,Third person omniscient,Mimetic,Omniscient,Third person,External,Implied,The Faerie Queene,Past,Chronological,Arthurian,Narrative,Epic,Quatrains,Iambic pentameter,ABAB
Amoretti 1,Edmund Spenser,1595,Elizabethan,Renaissance,Courtly,Epideictic,Sonnet,Lyrical,Explicit,Non-diegetic,First person,Speaker,First person,Beloved,You,Present,Static,Sonnet tradition,Lyric,Love poetry,Three quatrains and a couplet,Iambic pentameter,ABAB CDCD EFEF GG
Amoretti 54,Edmund Spenser,1595,Elizabethan,Renaissance,Love poetry,Epideictic,Sonnet sequence,Poetic,Explicit,Non-diegetic,First person,Speaker,First person,Beloved,You,Past,Flashback,English sonnet tradition,Lyric,Love poetry,Three quatrains and a couplet,Iambic pentameter,ABAB CDCD EFEF GG
Amoretti 75: One Day I Wrote Her Name,Edmund Spenser,1595,Elizabethan,Renaissance,Admiring,Epideictic,Descriptive,Poetic,nan,nan,nan,First person singular,nan,Beloved,nan,Past,Sequential,nan,Lyric,Sonnet,Three quatrains and a couplet,Iambic pentameter,ABABBCDCDEFEFGG
Prothalamion,Edmund Spenser,1596,Elizabethan,Renaissance,Formal,Epideictic,Descriptive,Expository,Extradiegetic,None,Third person omniscient,None,Static,General,None,Past,Chronological,English literary tradition,Narrative,Poetic,Sonnet,Iambic pentameter,ABAB CDCD EFEF GG
The Nymph's Reply to the Shepherd,Walter Raleigh,1600,Elizabethan,Renaissance,Formal,Epistolary,Letter,Fictional,Extradiegetic,Mimetic,Third person external,Nymph,Second person,Shepherd,This wood,Past,Flashback,English literary tradition,Lyric,Love poetry,Quatrains,Iambic pentameter,ABAB
The Lie,Walter Raleigh,1608,Elizabethan,nan,Formal,Epideictic,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Lyric,nan,Quatrains,Iambic pentameter,AABB
As You Came from the Holy Land,Walter Raleigh,1600,Elizabethan,nan,Admiring,Epideictic,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Lyric,nan,Quatrains,Iambic pentameter,AABB
What Is Our Life?,Walter Raleigh,1612,Elizabethan,nan,Meditative,Epideictic,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Lyric,Religious,Quatrains,Iambic pentameter,AABB
Hero and Leander,Christopher Marlowe,1598,Elizabethan,Elizabethan Drama,Elevated,Epideictic,Monologue,Narrative,Third person,Mimetic,External,Third person omniscient,Extradiegetic,General,None,Past,Linear,Classical,Narrative,Epic Poem,Quatrains,Iambic pentameter,AABBCC
Come Live with Me,Christopher Marlowe,1599,Elizabethan,Elizabethan,Inviting,Persuasive,Monologue,Expository,Zero,Non-diegetic,First person,Speaker,Second person,Audience,You,Present,Static,English Renaissance,Lyric,Love poetry,Quatrains,Iambic pentameter,ABAB
Sonnet 1: From fairest creatures,William Shakespeare,1609,Elizabethan,Renaissance,Admiring,Epideictic,Three quatrains and a couplet,Poetic,nan,"Non-diegetic, non-mimetic","Third person, external",nan,Second person,Reader,nan,Present,Static,English sonnet tradition,Lyric,Lyric poetry,Three quatrains and a couplet,Iambic pentameter,ABABCDCDEFEFGG
Sonnet 12: When I do count the clock,William Shakespeare,1609,Elizabethan,Renaissance,Formal,Persuasive,Three quatrains and a couplet,Monologue,First person,Non-diegetic,First person internal,First person singular,Present,Imaginary,Clock,Present,Static,English sonnet tradition,Lyric,Sonnet,Three quatrains and a couplet,Iambic pentameter,ABABCDCDEFEFGG
Sonnet 20: A woman's face,William Shakespeare,1609,Elizabethan,Renaissance,Admiring,Epideictic,Three quatrains followed by a couplet,Poetic,Extradiegetic,None,Third person,Speaker,None,Implied,None,Present,Static,English sonnet tradition,Lyric,Sonnet,Three quatrains and a couplet,Iambic pentameter,ABABCDCDEFEFGG
Sonnet 29: When in disgrace,William Shakespeare,1609,Elizabethan,Renaissance,Admiring,Epideictic,Three quatrains and a couplet,Poetic,nan,Non-diegetic,First person,Speaker,First person,Implied,nan,Present,Static,English sonnet tradition,Lyric,Sonnet,Three quatrains and a couplet,Iambic pentameter,ABAB CDCD EFEF GG
Sonnet 30: When to the sessions,William Shakespeare,1609,Elizabethan,Renaissance,Admiring,Epideictic,Three quatrains and a couplet,Poetic,nan,nan,nan,First person,nan,Imaginary,nan,Present,Static,English sonnet tradition,Lyric,Sonnet,Three quatrains and a couplet,Iambic pentameter,ABABCDCDEFEFGG
Sonnet 55: Not marble,William Shakespeare,1609,Elizabethan,Renaissance,Formal,Epideictic,Three quatrains followed by a concluding couplet,Lyrical,Extradiegetic,None,First person,Speaker,Second person,Imaginary,Not marble,Present,Static,English sonnet tradition,Lyric,Lyric poetry,Three quatrains and a concluding couplet,Iambic pentameter,ABABCDCDEFEFGG
Sonnet 60: Like as the waves,William Shakespeare,1609,Elizabethan,Renaissance,Formal,Epideictic,Three quatrains followed by a couplet,Poetic,Extradiegetic,None,Third person,None,None,General,None,Present,Static,English sonnet tradition,Lyric,Lyric poetry,Three quatrains and a couplet,Iambic pentameter,ABAB CDCD EFEF GG
Sonnet 65: Since brass,William Shakespeare,1609,Elizabethan,Renaissance,Formal,Epideictic,Three quatrains followed by a couplet,Poetic,nan,nan,nan,nan,nan,Imaginary,nan,Reflective,Flashback,English sonnet tradition,Lyric,Sonnet,Three quatrains and a couplet,Iambic pentameter,ABABCDCDEFEFGG
Sonnet 73: That time of year,William Shakespeare,1609,Elizabethan,Renaissance,Admiring,Epideictic,Three quatrains and a couplet,Poetic,nan,nan,nan,nan,nan,Imaginary,nan,Reflective,Flashback,English sonnet tradition,Lyric,Sonnet,Three quatrains and a couplet,Iambic pentameter,ABABCDCDEFEFGG
Sonnet 94: They that have power,William Shakespeare,1609,Elizabethan,Renaissance,Formal,Epideictic,Three quatrains and a couplet,Poetic,Zero,Non-diegetic,Third person,None,Static,Imaginary,None,Timeless,Fixed,English sonnet tradition,Lyric,Sonnet,Three quatrains and a couplet,Iambic pentameter,ABABCDCDEFEFGG
Sonnet 106: When in the chronicle,William Shakespeare,1609,Elizabethan,Renaissance,Formal,Epideictic,Three quatrains and a couplet,Poetic,Extradiegetic,Non-diegetic,Third person,None,Anaphoric,Implied,None,Past,Sequential,English sonnet tradition,Lyric,Sonnet,Three quatrains and a couplet,Iambic pentameter,ABAB CDCD EFEF GG
Sonnet 116: Let me not,William Shakespeare,1609,Elizabethan,Renaissance,Romantic,Epideictic,Three quatrains and a couplet,Poetic,nan,Non-diegetic,First person,Speaker,Second person,Beloved,This poem,Present,Static,English sonnet tradition,Lyric,Love poetry,Three quatrains and a couplet,Iambic pentameter,ABABCDCDEFEFGG
Sonnet 126: O thou my lovely boy,William Shakespeare,1609,Elizabethan,Renaissance,Admiring,Epideictic,Three quatrains and a couplet,Poetic,nan,nan,nan,nan,nan,Second person singular,nan,Present,Static,English sonnet tradition,Lyric,Sonnet,Three quatrains and a couplet,Iambic pentameter,ABABCDCDEFEFGG
Sonnet 129: Th' expense of spirit,William Shakespeare,1609,Elizabethan,Renaissance,Admiring,Epideictic,Three quatrains and a couplet,Poetic,nan,nan,nan,nan,nan,nan,nan,nan,nan,English Sonnet Tradition,Lyric,Sonnet,Three quatrains and a couplet,Iambic pentameter,ABABCDCDEFEFGG
Sonnet 130: My mistress' eyes,William Shakespeare,1609,Elizabethan,Renaissance,Admiring,Epideictic,Descriptive,Poetic,nan,nan,nan,nan,nan,nan,nan,nan,nan,English Sonnet Tradition,Lyric,Sonnet,Three quatrains and a couplet,Iambic pentameter,ABABCDCDEFEFGG
Sonnet 138: When my love swears,William Shakespeare,1609,Elizabethan,Renaissance,Romantic,Epideictic,Three quatrains and a couplet,Poetic,nan,nan,nan,nan,nan,Beloved,nan,Present,Static,English Sonnet Tradition,Lyric,Sonnet,Three quatrains and a couplet,Iambic pentameter,ABABCDCDEFEFGG
Sonnet 144: Two loves I have,William Shakespeare,1609,Elizabethan,Renaissance,Admiring,Epideictic,"Three quatrains, one couplet",Poetic,nan,nan,nan,First person singular,nan,Implied,nan,Present,Static,English sonnet tradition,Lyric,Sonnet,"Three quatrains, one couplet",Iambic pentameter,ABABCDCDEFEFGG
Sonnet 146: Poor soul,William Shakespeare,1609,Elizabethan,Renaissance,Admiring,Epideictic,Three quatrains followed by a couplet,Poetic,nan,Non-diegetic,Third person,nan,Second person,General,nan,Present,Static,English sonnet tradition,Lyric,Sonnet,Three quatrains and a couplet,Iambic pentameter,ABABCDCDEFEFGG
A Hymn to God the Father,John Donne,1633,Early Modern,Metaphysical Poets,Formal,Hymn,Monologue,Expository,Zero,Non-diegetic,First person (narrator),Speaker (narrator),Second person (God),Deity,God,Present,Static,Christian,Lyric,Religious,Quatrains,Iambic pentameter,AABB
Holy Sonnet 1: Thou hast made me,John Donne,1633,Early Modern,Metaphysical Poets,Formal,Epideictic,Unified,Poetic,First person,Non-diegetic,First person internal,Speaker,First person,God,Thou,Present,Static,English poetry,Lyric,Religious poetry,"Four quatrains, one couplet",Iambic pentameter,"AABB, CC, DD, EE, FF"
Holy Sonnet 6: This is my play's last scene,John Donne,1633,Early Modern,Metaphysical Poets,Devotional,Epideictic,Monologue,Poetic,First person,Non-diegetic,First person internal,Speaker,First person,God,Self,Present,Single moment,English poetry,Lyric,Religious poetry,Four quatrains and a couplet,Iambic pentameter,"AABB, CDCD, EE, FF"
Holy Sonnet 7: At the round earth's,John Donne,1633,Early Modern,Metaphysical Poets,Formal,Epideictic,Unified,Poetic,Zero,Non-diegetic,First person,Speaker,Extradiegetic,Implied,Round earth,Present,Static,English Literary Tradition,Lyric,Sonnet,"Three quatrains, a couplet",Iambic pentameter,ABAB CDCD EFEF GG
Holy Sonnet 10: Death Be Not Proud,John Donne,1633,Early Modern,Metaphysical Poets,Admonitory,Epideictic,Monologue,Expository,First person,Non-diegetic,First person internal,Speaker,Second person,God,Death,Present,Static,English poetry,Lyric,Religious,Four quatrains and a couplet,Iambic pentameter,AABB CCFF EE
Holy Sonnet 14: Batter my heart,John Donne,1633,Early Modern,Metaphysical Poets,Impassioned,Epideictic,Monologue,Poetic,First Person,Non-diegetic,First Person Internal,Speaker,First Person,God,Heart,Present,Static,English Poetry,Lyric,Religious Poetry,Four Quatrains and a Couplet,Iambic Pentameter,ABCBDEDEFC
"Holy Sonnet 19: Oh, to vex me",John Donne,1633,Early Modern,Metaphysical Poets,Meditative,Epideictic,Argumentative,Expository,First person,Non-diegetic,First person internal,Speaker,First person,God,Self,Present,Static,English poetry,Lyric,Sonnet,Three quatrains and a couplet,Iambic pentameter,ABBABCDECDE
"A Hymn to God My God, in My Sickness",John Donne,1635,Early Modern,Metaphysical Poets,Devotional,Hymn,Monologue,Formal,First Person,Non-diegetic,First Person,Speaker,First Person,Divine,God,Present,Static,English Literary Tradition,Lyric,Religious Poetry,Quatrains,Iambic pentameter,AABB
Song: Go and Catch a Falling Star,John Donne,1633,Early Modern,Metaphysical Poetry,Erotic,Persuasive,Monologue,Poetic,First person,Non-diegetic,First person internal,Speaker,Second person,Imaginary,Star,Present,Static,English Literary Tradition,Lyric,Love Poem,Quatrains,Iambic pentameter,AABB
Woman's Constancy,John Donne,1633,Early Modern,Metaphysical Poets,Admiring,Epideictic,Analogical,Expository,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Lyric,Love Poem,Quatrains,Iambic pentameter,AABB
The Apparition,John Donne,1633,Early Modern,Metaphysical Poets,Intimate,Epideictic,Descriptive,Poetic,nan,nan,nan,First person singular,nan,Imaginary,nan,Past,Flashback,English Literary Tradition,Lyric,Ghost Story,Quatrains,Iambic pentameter,AABB
A Nocturnal upon St. Lucy's Day,John Donne,1633,Early Modern,Metaphysical Poets,Meditative,Epideictic,Analogical,Expository,First person,None,First person internal,Speaker,Third person,Implied,Lucy,Past,Flashback,English Literary Tradition,Lyric,Religious,Quatrains,Iambic pentameter,AABB
To the Countess of Bedford,John Donne,1633,Early Modern,Metaphysical Poets,Formal,Epistolary,Argumentative,Persuasive,Extradiegetic,None,Third person external,None,None,Real,None,Past,Chronological,English Literature,Lyric,Love Poem,Quatrains,Iambic pentameter,AABB
An Anatomy of the World,John Donne,1611,Early Modern,Metaphysical Poets,Metaphysical,Epideictic,Analogy,Poetic,Extradiegetic,None,First person,Speaker,Second person,God,World,Timeless,A-temporal,English Literature,Metaphysical,Religious Poetry,Quatrains,Iambic pentameter,AABB
Volpone (To My Book),Ben Jonson,1607,Elizabethan,Elizabethan Drama,Formal,Epideictic,Monologue,Expository,Zero,Non-diegetic,First person,Speaker,First person,Book,My book,Present,Static,English Literary Tradition,Drama,Satire,Irregular,Iambic pentameter,AABBCC
