source,title,author,year_approx,period,literary_movement,register,rhetorical_genre,discursive_structure,discourse_type,narrative_level,diegetic_mimetic,focalization,person,deictic_orientation,addressee_type,deictic_object,temporal_orientation,temporal_structure,tradition,mode,genre,stanza_structure,meter,rhyme,poem_id,length_lines,source_url,length_words
gold_standard,Goblin Market,Christina Rossetti,1862,Victorian,Pre-Raphaelite,Cautionary,Mixed,Monologic,Narrative report,Extradiegetic,Diegetic,External,3rd,Third person,Direct address,Laura/Lizzie,Past,Linear,Original,Narrative,,Irregular,Irregular,Irregular,25,567.0,https://www.poetryfoundation.org/poems/44996/goblin-market,3043.0
gold_standard,The Cry of the Children,Elizabeth Barrett Browning,1843,Victorian,,Indignant/Pleading,Deliberative,Polyvocal,Mixed,,Mixed,Multiple,1st/2nd/3rd,Second person,Direct address,Society/children,Present,Static,Original,Lyric,Political/social protest,12-line stanzas,Mixed anapestic/iambic,AABBCCDDEE (varied),26,162.0,https://www.poetryfoundation.org/poems/43725/the-cry-of-the-children,1355.0
gold_standard,When Lilacs Last in the Dooryard Bloom'd,Walt Whitman,1865,Victorian,,Elegiac,Epideictic,Monologic,Mixed,,Mixed,Internal,1st,Mixed,Mixed,Lincoln/lilacs,Past/Present,Recursive,Original,Lyric,Elegy,16 numbered sections,Free verse,Unrhymed,27,222.0,https://www.poetryfoundation.org/poems/45480/when-lilacs-last-in-the-dooryard-bloomd,2165.0
gold_standard,I'm Nobody! Who are you?,Emily Dickinson,1891,Victorian,,Playful,Deliberative,Monologic,Direct discourse,,Mimetic,Internal,1st/2nd,Second person,Direct address,Reader/Nobody,Present,Static,Original,Lyric,,Two quatrains,Hymn stanza,ABCB,28,8.0,https://www.poetryfoundation.org/poems/47466/im-nobody-who-are-you-260,52.0
gold_standard,"Loveliest of trees, the cherry now",A.E. Housman,1896,Victorian,,Carpe diem,Deliberative,Monologic,Commentary,,Mimetic,Internal,1st,First person,Self-address,Cherry trees,Present,Static,Original,Lyric,,Three quatrains,Iambic tetrameter,AABB,29,12.0,https://www.poetryfoundation.org/poems/45515/loveliest-of-trees-the-cherry-now,74.0
gold_standard,Astrophil and Stella 39: Come Sleep! O Sleep,Philip Sidney,1591,Elizabethan,Renaissance,Pleading,Epideictic,Monologic,Direct discourse,,Mimetic,Internal,1st,Apostrophic,Apostrophic address,Sleep,Present,Static,Original,Lyric,,Sonnet (8+6),Iambic pentameter,ABBAABBA CDCDEE,3,14.0,https://www.poetryfoundation.org/poems/45153/astrophil-and-stella-39-come-sleep-o-sleep-the-certain-knot-of-peace,14.0
gold_standard,In a Station of the Metro,Ezra Pound,1913,Modernist,Imagism,Observational,Epideictic,Monologic,Description,,Mimetic,Zero,3rd,Impersonal,Unaddressed,Faces/petals,Present,Static,Original,Lyric,,Two lines,Free verse,Unrhymed,30,2.0,https://www.poetryfoundation.org/poems/45129/in-a-station-of-the-metro,14.0
gold_standard,Oread,H.D.,1914,Modernist,Imagism,Imperative,Deliberative,Monologic,Direct discourse,,Mimetic,Internal,2nd,Apostrophic,Apostrophic address,Sea/pines,Present,Static,Original,Lyric,,Six lines,Free verse,Unrhymed,31,6.0,https://www.poetryfoundation.org/poems/47658/oread,26.0
gold_standard,"Easter, 1916",William Butler Yeats,1916,Modernist,Modernism,Ambivalent,Mixed,Monologic,Commentary,,Mixed,Internal,1st,Mixed,Direct address,The rebels,Past/Present,Recursive,Original,Lyric,Political elegy,Quatrains,Iambic tri/tetrameter,ABAB,32,80.0,https://www.poetryfoundation.org/poems/43289/easter-1916,429.0
gold_standard,Gerontion,T.S. Eliot,1920,Modernist,Modernism,Bitter,Mixed,Monologic,Direct discourse,,Mimetic,Internal,1st,First person,Triangulated address,History,Present,Fragmentary,Original,Dramatic,,Free verse,Free verse,Unrhymed,33,78.0,https://www.poetryfoundation.org/poems/44214/gerontion,578.0
gold_standard,The Negro Speaks of Rivers,Langston Hughes,1921,Modernist,Harlem Renaissance,Meditative,Epideictic,Monologic,Direct discourse,,Mimetic,Internal,1st,First person,Apostrophe,Rivers,Past and present,Recursive,Original,Lyric,,Free verse,Free verse,Unrhymed,34,10.0,,103.0
gold_standard,Yet Do I Marvel,Countee Cullen,1925,Modernist,Harlem Renaissance,Philosophical,Epideictic,Monologic,Direct discourse,,Mimetic,Internal,1st,First person,Implied audience,Divine paradox,Present,Linear,Original,Lyric,,Sonnet,Iambic pentameter,ABABCDCDEFEFGG,35,14.0,,100.0
gold_standard,Reapers,Jean Toomer,1923,Modernist,Harlem Renaissance,Observational,Epideictic,Monologic,Direct discourse,,Mimetic,Internal,1st,First person,Implied audience,Reapers,Present,Linear,Original,Lyric,,Octave,Iambic pentameter,AABBCCDD,36,8.0,,65.0
gold_standard,Funeral Blues,W. H. Auden,1936,Modernist,Modernism,Elegiac,Epideictic,Monologic,Direct discourse,,Mimetic,Internal,1st,First person,General address,The deceased,Present,Linear,Original,Lyric,Elegy,Four quatrains,Anapestic tetrameter,AABBCCDD,37,16.0,,134.0
gold_standard,Black Earth,Marianne Moore,1918,Modernist,Modernism,Philosophical,Epideictic,Monologic,Direct discourse,,Mimetic,Internal,1st,First person,Implied audience,Self (elephant),Present,Meditative,Original,Lyric,Dramatic monologue,Syllabic stanzas,Syllabic verse,Light rhyme,38,68.0,,438.0
gold_standard,Howl,Allen Ginsberg,1956,Postwar,Beat,Prophetic,Epideictic,Monologic,Direct discourse,,Mimetic,Internal,1st,First person,Direct address,Beat generation,Past and present,Anaphoric catalog,Original,Lyric,,Three-part poem with long lines,Free verse,Unrhymed,39,135.0,,2905.0
gold_standard,Epithalamion,Edmund Spenser,1595,Elizabethan,Renaissance,Celebratory,Epideictic,Monologic,Mixed,,Mixed,Internal,1st,Mixed,Mixed,Bride/wedding,Present/Future,Linear,Original,Lyric,Epithalamion,24 stanzas + envoi,Varied,Complex stanza,4,433.0,https://www.poetryfoundation.org/poems/45189/epithalamion,2597.0
gold_standard,The Horses,Ted Hughes,1957,Postwar,,Meditative,Epideictic,Monologic,Direct discourse,,Mimetic,Internal,1st,First person,Implied audience,Horses,Past and present,Linear,Original,Lyric,,Variable stanzas,Free verse,Unrhymed,40,38.0,,271.0
gold_standard,Preface to a Twenty Volume Suicide Note,Amiri Baraka,1961,Postwar,Black Arts,Confessional,Epideictic,Monologic,Direct discourse,,Mimetic,Internal,1st,First person,Implied audience,Daughter praying,Recent past,Linear,Original,Lyric,,Variable stanzas,Free verse,Unrhymed,41,17.0,,122.0
gold_standard,Daddy,Sylvia Plath,1962,Postwar,Confessional,Confessional,Epideictic,Monologic,Direct discourse,,Mimetic,Internal,1st,First person,Direct address,Father,Past and present,Recursive,Original,Lyric,,16 five-line stanzas,Modified villanelle,Loose rhyme scheme,42,80.0,,512.0
gold_standard,The Ghost,Robert Lowell,1964,Postwar,Confessional,Dramatic,Epideictic,Dialogic,Mixed,,Mixed,Mixed,1st,First person,Direct address,Ghost/Sextus,Past,Linear,Adaptation,Lyric,Dramatic monologue,Rhyming couplets,Iambic pentameter,Couplets,43,82.0,,579.0
gold_standard,Time and Time Again,A. K. Ramanujan,1966,Postwar,,Meditative,Epideictic,Monologic,Direct discourse,,Mimetic,Internal,2nd,Second person,General address,Clocktowers,Present,Linear,Original,Lyric,,Single stanza,Free verse,Unrhymed,44,19.0,,127.0
gold_standard,The Ballad of the Lonely Masturbator,Anne Sexton,1969,Postwar,Confessional,Confessional,Epideictic,Monologic,Direct discourse,,Mimetic,Internal,1st,First person,Direct address,Former lover,Present,Recursive,Original,Lyric,Ballad,Seven six-line stanzas,Variable meter,ABABCB,45,42.0,,290.0
gold_standard,Riot,Gwendolyn Brooks,1969,Postwar,,Satirical,Deliberative,Monologic,Narrative report,Extradiegetic,Diegetic,External,3rd,Third person,Implied audience,John Cabot,Past,Linear,Original,Narrative,,Variable stanzas,Free verse,Unrhymed,46,32.0,,242.0
gold_standard,Crusoe in England,Elizabeth Bishop,1971,Postwar,,Meditative,Epideictic,Monologic,Direct discourse,,Mixed,Internal,1st,First person,Implied audience,The island,Past and present,Recursive,Adaptation,Narrative,Dramatic monologue,Variable stanzas,Free verse,Unrhymed,47,182.0,,1200.0
gold_standard,Hinge Picture,Susan Howe,1974,Contemporary,Language Poetry,Experimental,Epideictic,Monologic,Direct discourse,,Mimetic,Internal,Mixed,First person,Direct address,Oarsman,Timeless,Fragmented,Original,Lyric,,Experimental visual spacing,Free verse,Light rhyme,48,24.0,,60.0
gold_standard,Coal,Audre Lorde,1976,Contemporary,,Meditative,Epideictic,Monologic,Direct discourse,,Mimetic,Internal,1st,First person,Implied audience,Language/words,Present,Meditative,Original,Lyric,,Variable stanzas,Free verse,Unrhymed,49,26.0,,159.0
gold_standard,The Passionate Shepherd to his Love,Christopher Marlowe,1599,Elizabethan,Renaissance,Persuasive,Deliberative,Monologic,Direct discourse,,Mimetic,Internal,1st,Second person,Triangulated address,The beloved,Future,Static,Original,Lyric,Pastoral,Quatrains,Iambic tetrameter,AABB,5,24.0,https://www.poetryfoundation.org/poems/44691/the-passionate-shepherd-to-his-love,168.0
gold_standard,Phenomenal Woman,Maya Angelou,1978,Contemporary,,Celebratory,Epideictic,Monologic,Direct discourse,,Mimetic,Internal,1st,First person,Direct address,Audience,Present,Recursive,Original,Lyric,,Four stanzas with refrain,Free verse,Irregular rhyme,50,60.0,,258.0
gold_standard,A Black River,Mary Oliver,1992,Contemporary,,Observational,Epideictic,Monologic,Direct discourse,Extradiegetic,Diegetic,External,3rd,Third person,Implied audience,Alligator,Present,Linear,Original,Lyric,,Seven quatrains,Free verse,Unrhymed,51,28.0,,95.0
gold_standard,Heart to Heart,Rita Dove,1999,Contemporary,,Meditative,Epideictic,Monologic,Direct discourse,,Mimetic,Internal,1st,First person,Direct address,Heart,Present,Meditative,Original,Lyric,,Single stanza,Free verse,Unrhymed,52,32.0,,94.0
gold_standard,,,2010,Contemporary,,,,,,,,,,,,,,,,Lyric,,,,,53,,,
gold_standard,Shall I Compare Thee to a Summer's Day,William Shakespeare,1609,Jacobean,Renaissance,Argumentative,Epideictic,Monologic,Commentary,,Mimetic,Internal,1st,Second person,Triangulated address,Beloved/summer,Present/Future,Recursive,Original,Lyric,,Sonnet (12+2),Iambic pentameter,ABAB CDCD EFEF GG,6,14.0,https://www.poetryfoundation.org/poems/45087/sonnet-18-shall-i-compare-thee-to-a-summers-day,118.0
gold_standard,The Description of Cooke-ham,Aemilia Lanyer,1611,Jacobean,Renaissance,Elegiac,Epideictic,Monologic,Description/Commentary,,Mixed,Internal,1st,Mixed,Mixed,The estate,Past/Present,Linear,Original,Lyric,Pastoral,Couplets,Iambic pentameter,AABB,7,210.0,https://www.poetryfoundation.org/poems/50338/the-description-of-cooke-ham,1525.0
gold_standard,The Good Morrow,John Donne,1633,Caroline,Metaphysical,Argumentative,Epideictic,Monologic,Direct discourse,,Mimetic,Internal,1st,Second person,Triangulated address,The lovers,Present,Recursive,Original,Lyric,,Three septets,Iambic pentameter,ABABCCC,8,21.0,https://www.poetryfoundation.org/poems/44097/the-good-morrow,163.0
gold_standard,Lycidas,John Milton,1638,Caroline,Renaissance,Elegiac,Epideictic,Monologic,Mixed,,Mixed,Internal/External,1st/3rd,Mixed,Mixed,Lycidas/poetry,Past/Present,Recursive,Original,Mixed,Pastoral elegy,Irregular,Varied,Irregular,9,193.0,https://www.poetryfoundation.org/poems/44733/lycidas,1416.0
colab_classified,Beowulf (lines 1-100),Anonymous,1000,Anglo-Saxon,,Epic,Epideictic,Linear,Exposition,Third person,Mimetic,Omniscient,,Anaphoric,Implied,The audience,Past,Chronological,Oral,Narrative,Epic Poetry,Nan,Alliterative,Nan,,,,
colab_classified,Beowulf (Grendel's attack),Anonymous,1000,Anglo-Saxon,,Epic,Epideictic,Chronological,Exposition,Third person omniscient,Mimetic,External,,Anaphoric,Indirect,Grendel's mother's dwelling,Past,Linear,Oral,Narrative,Epic poetry,Nan,Alliterative,Nan,,,,
colab_classified,Beowulf (Beowulf vs. Grendel),Anonymous,1000,Anglo-Saxon,,Epic,Epideictic,Linear,Exposition,Third person omniscient,Mimetic,External,Third person,Anaphoric,Implied,,Past,Chronological,Oral,Narrative,Epic,,Unknown,Unknown,,,,
colab_classified,Beowulf (Beowulf's funeral),Anonymous,1000,Anglo-Saxon,,Epic,Epideictic,,Exposition,Third person,Mimetic,External,,Past,General,,Past,Chronological,Old English,Narrative,Epic Poetry,,Alliterative,,,,,
colab_classified,The Wanderer,Anonymous,975,Anglo-Saxon,,Epic,Epideictic,,Expository,Third person,Mimetic,Omniscient,,Anaphoric,Imaginary,,Past,Chronological,Anglo-Saxon,Narrative,Epic Poetry,Quatrains,Dactylic hexameter,AABBCCB,,,,
colab_classified,The Seafarer,Anonymous,990,Anglo-Saxon,,Formal,Epideictic,,,,,,,,,,Past,,Old English,Lyric,Epic,Quatrains,Alliterative,A-B-A-B,,,,
colab_classified,The Wife's Lament,Anonymous,950,Anglo-Saxon,,Lamenting,Epideictic,,,,,,Female,,,,Past,Sequential,Old English,Narrative,Lyric,Quatrains,Dactylic hexameter,AABBCC,,,,
colab_classified,The Husband's Message,Anonymous,950,Anglo-Saxon,,Formal,Deliberative,Monologue,Expository,Third person,Extradiegetic,Omniscient,,Anaphoric,Indirect,,Past,Linear,Anglo-Saxon,Narrative,Lyric,Quatrains,Dactylic hexameter,AABB,,,,
colab_classified,The Ruin,Anonymous,950,Anglo-Saxon,,Descriptive,Epideictic,,Expository,,Mimetic,External,,External,General,,Past,Chronological,Old English,Lyric,Lyric,Quatrains,Dactylic hexameter,AABBCC,,,,
colab_classified,Deor,Anonymous,950,Old English,,,,,,,,,,,,,past,,Anglo-Saxon,Lyric,,,,,,,,
colab_classified,Wulf and Eadwacer,Anonymous,950,Anglo-Saxon,,,,,,,,,,,,,past,,Old English Poetry,Lyric,,,,,,,,
colab_classified,The Dream of the Rood,Anonymous,950,Anglo-Saxon,,Religious,Deliberative,,Expository,Third person omniscient,Mimetic,Omniscient,,Anaphoric,God,The Rood,Historical,Chronological,Anglo-Saxon Poetic Tradition,Narrative,Religious Poetry,,Alliterative,A-B-A-B,,,,
colab_classified,Caedmon's Hymn,Caedmon,680,Anglo-Saxon,Anglo-Saxon Poetry,Hymnic,Epideictic,Descriptive,Expository,Nan,Non-diegetic,Omniscient,Nan,Non-deictic,Divine,Nan,Past,Linear,Anglo-Saxon Oral Tradition,Narrative,Religious,Quatrains,Dactylic hexameter,AABBCCB,,,,
colab_classified,The Battle of Maldon,Anonymous,991,Anglo-Saxon,,Epic,Epideictic,,,Extradiegetic,Mimetic,Omniscient,,Anaphoric,Community,Battle of Maldon,Past,Chronological,Anglo-Saxon Poetry,Narrative,Epic Poetry,,Anapestic,AABBCCB,,,,
colab_classified,The Phoenix,Anonymous,975,Anglo-Saxon,,Epic,Epideictic,,Expository,Third person omniscient,Mimetic,Omniscient,,Anaphoric,Indirect,The Phoenix,Past,Chronological,Classical,Narrative,Epic Poetry,Quatrains,Iambic pentameter,AABB,,,,
colab_classified,The General Prologue,Geoffrey Chaucer,1387,Middle English,,Formal,Epideictic,,Expository,Extradiegetic,Mimetic,Omniscient,,Anaphoric,Indirect,,Past,Chronological,British,Narrative,Epic,Quatrains,Iambic pentameter,AABB,,,,
colab_classified,The Knight's Tale,Geoffrey Chaucer,1387,Middle English,Middle English Literature,Formal,Epideictic,Descriptive,Expository,Third person omniscient,Mimetic,Omniscient,,Anaphoric,Implied,,Past,Chronological,Canterbury Tales,Narrative,Fabliau,Quatrains,Iambic pentameter,AABBCC,,,,
colab_classified,The Miller's Tale,Geoffrey Chaucer,1387,Middle English,,,,,,Extradiegetic,Mimetic,Omniscient,,,,,Past,Chronological,Canterbury Tales,Narrative,Fabliau,,,AABBCC,,,,
colab_classified,The Wife of Bath's Prologue,Geoffrey Chaucer,1387,Middle English,,,,Monologue,First-person narrative,Extradiegetic,Extradiegetic,First-person,Female,Second person,Reader,,Past,Flashback,Canterbury Tales,Narrative,Fabliau,Irregular,,AABBCC,,,,
colab_classified,The Wife of Bath's Tale,Geoffrey Chaucer,1387,Middle English,Middle English Literature,Narrative,Deliberative,Framed narrative,Oral,Third person,Exterior,Omniscient,Third person,Extradiegetic,Indirect,The Wife of Bath,Past,Linear,Canterbury Tales,Narrative,Fabliau,Irregular,Iambic pentameter,AABBCC,,,,
colab_classified,The Pardoner's Tale,Geoffrey Chaucer,1387,Middle English,,Formal,Deliberative,,,Extradiegetic,Mimetic,Omniscient,,Anaphoric,Indirect,,Past,Chronological,Canterbury Tales,Narrative,Fable,,Iambic pentameter,AABBCC,,,,
colab_classified,The Nun's Priest's Tale,Geoffrey Chaucer,1387,Middle English,,,,Frame narrative,,Extradiegetic,Realistic,Omniscient,,,,,Past,Chronological,Canterbury Tales,Narrative,Fabliau,Irregular,Iambic pentameter,AABBCCRhyme scheme,,,,
colab_classified,Troilus and Criseyde (Book I),Geoffrey Chaucer,1385,Middle English,Middle English Literature,Formal,Epideictic,Exposition,Fictional Narrative,Third Person Omniscient,Mimetic,Omniscient,,Anaphoric,Implied,,Past,Chronological,Canterbury Tales,Narrative,Epic,Quatrains,Iambic pentameter,AABB,,,,
colab_classified,Troilus and Criseyde (Book V),Geoffrey Chaucer,1385,Middle English,Middle English Literature,Formal,Epideictic,Linear,Expository,Third person omniscient,Mimetic,Omniscient,,Anaphoric,Implied,The story of Troilus and Criseyde,Past,Chronological,Canterbury Tales,Narrative,Romance,Nan,Iambic pentameter,AABBCC,,,,
colab_classified,The Parliament of Fowls,Geoffrey Chaucer,1382,Middle English,Middle English Literature,Formal,Epideictic,Narrative,Expository,Third person omniscient,Extradiegetic,Omniscient,,Third person,General,,Past,Sequential,Canterbury Tales,Narrative,Poetry,Five-line stanzas with a rhyme scheme of ABAAB,Iambic pentameter,A rhyming poem,,,,
colab_classified,The Book of the Duchess,Geoffrey Chaucer,1369,Middle English,Middle English Literature,Formal,Epideictic,Framed narrative,Poetic,Exterior,Mimetic,Third person omniscient,,Anaphoric,Implied,,Past,Linear,Canterbury Tales,Narrative,Allegory,Quatrains,Iambic pentameter,AABB,,,,
colab_classified,Sir Gawain and the Green Knight (Fitt I),Pearl Poet,1375,Middle English,,Formal,Epideictic,,,Extradiegetic,Mimetic,Omniscient,,,,,Past,Chronological,Arthurian Legend,Narrative,Epic,Quatrains,Iambic pentameter,ABAB,,,,
colab_classified,Sir Gawain and the Green Knight (Fitt II),Pearl Poet,1375,Middle English,,Formal,Epideictic,,Exposition,Third person omniscient,Mimetic,Omniscient,,Third person,Implied,,Past,Chronological,Arthurian,Narrative,Epic,Quatrains,Iambic pentameter,ABAB,,,,
colab_classified,Sir Gawain and the Green Knight (Fitt IV),Pearl Poet,1375,Middle English,Middle English Alliterative Poetry,Formal,Epideictic,Monologue,Explicit,Third person,Mimetic,Omniscient,Third person,External,Implied,The Green Knight,Past,Linear,Arthurian Legend,Narrative,Epic,Quatrains,Iambic pentameter,AABB,,,,
colab_classified,Pearl,Pearl Poet,1375,Middle English,Middle English Literature,Formal,Epideictic,Paradigmatic,Poetic,Extradiegetic,Non-diegetic,Third person omniscient,,Anaphoric,Implied,Pearl,Past,Linear,Middle English Alliterative Poetry,Lyric,Allegory,Quatrains,Alliterative,AABB,,,,
colab_classified,Piers Plowman (Prologue),William Langland,1370,Middle English,Middle English Alliterative Poetry,Formal,Deliberative,Monologue,First person,Extradiegetic,External,Omniscient,First person (narrator),Anaphoric,Implied,The reader,Past,Flashback,Middle English Literature,Narrative,Allegory,Four-line stanzas with a rhyme scheme of AABB,Iambic pentameter,A rhyming poem,,,,
colab_classified,Piers Plowman (Passus I),William Langland,1370,Middle English,Middle English Alliterative Poetry,Didactic,Deliberative,Monologue,First person,Extradiegetic,External,Third person (omniscient),Narrator,Anaphoric,General,,Past,Linear,Middle English Literature,Narrative,Allegory,Quatrains,Iambic pentameter with alliteration,AABB,,,,
colab_classified,Piers Plowman (Passus XVIII),William Langland,1370,Middle English,Middle English Alliterative,Didactic,Deliberative,Monologue,Narrative,Third person omniscient,Extradiegetic,Omniscient,,Anaphoric,General,,Past,Linear,Middle English Literature,Narrative,Allegory,Four-line stanzas with a rhyme scheme of AABB,Iambic pentameter,A rhyming poem,,,,
colab_classified,The Second Shepherds' Play,Wakefield Master,1475,Middle English,,,,Drama,Social commentary,Extradiegetic,Mimetic,Omniscient,,Intradiegetic,Live audience,,Past,Linear,Middle English,Narrative,Comedy,Five-line stanzas,Iambic pentameter,AABBCC,,,,
colab_classified,Everyman,Anonymous,1495,Middle English,,Formal,Deliberative,Expository,Monologue,Third person omniscient,Extradiegetic,Omniscient,,Anaphoric,General,,Past,Chronological,Middle English,Narrative,Allegory,Quatrains,Iambic pentameter,AABB,,,,
colab_classified,Sumer Is Icumen In,Anonymous,1260,Middle English,,,,stanzaic,lyrical,,Mimetic,third person,,present,general,sumer,present,annual,,Lyric,,quatrain,trochaic tetrameter,AABB,,,,
colab_classified,Alison,Anonymous,1300,Middle English,,Formal,Epideictic,,Expository,,Mimetic,Third person omniscient,,Anaphoric,Indirect,,Past,Chronological,Middle English,Lyric,Lyric,Quatrains,Iambic pentameter,AABB,,,,
